nombre_ies;codigo_ies;codigo_sede;nombre_sede;codigo_comuna;nombre_comuna;codigo_region;nombre_region;n_sedes
UNIVERSIDAD DE LA SERENA;74;3;CAMPUS LIMARI;04301;Ovalle;04;Coquimbo;2
UNIVERSIDAD DEL BIO-BIO;75;1;CASA CENTRAL (CONCEPCION);08101;Concepción;08;Biobío;2
UNIVERSIDAD DEL BIO-BIO;75;2;SEDE CHILLAN;16101;Chillán;16;Ñuble;2
UNIVERSIDAD DE LA FRONTERA;76;1;CASA CENTRAL (TEMUCO);09101;Temuco;09;La Araucanía;2
UNIVERSIDAD DE LA FRONTERA;76;2;SEDE PUCON;09115;Pucón;09;La Araucanía;2
UNIVERSIDAD DE MAGALLANES;77;1;CASA CENTRAL (PUNTA ARENAS);12101;Punta Arenas;12;Magallanes y de la Antártica Chilena;4
UNIVERSIDAD DE MAGALLANES;77;2;CENTRO UNIVERSITARIO PUERTO NATALES;12401;Natales;12;Magallanes y de la Antártica Chilena;4
UNIVERSIDAD DE MAGALLANES;77;4;COYHAIQUE;11101;Coyhaique;11;Aysén del General Carlos Ibáñez del Campo;4
UNIVERSIDAD DE MAGALLANES;77;5;CENTRO UNIVERSITARIO UMAG CABO DE HORNOS;12201;Cabo de Hornos;12;Magallanes y de la Antártica Chilena;4
UNIVERSIDAD DE TALCA;78;1;CASA CENTRAL (TALCA);07101;Talca;07;Maule;5
UNIVERSIDAD DE TALCA;78;3;CAMPUS CURICO;07301;Curicó;07;Maule;5
UNIVERSIDAD DE TALCA;78;5;CAMPUS SANTIAGO;13129;San Joaquín;13;Metropolitana de Santiago;5
UNIVERSIDAD DE TALCA;78;7;CAMPUS COLCHAGUA;06310;Santa Cruz;06;Libertador General Bernardo O'Higgins;5
UNIVERSIDAD DE TALCA;78;8;CAMPUS LINARES;07401;Linares;07;Maule;5
UNIVERSIDAD DE ATACAMA;79;1;CASA CENTRAL (COPIAPO);03101;Copiapó;03;Atacama;2
UNIVERSIDAD DE ATACAMA;79;3;SEDE VALLENAR;03301;Vallenar;03;Atacama;2
UNIVERSIDAD DE TARAPACA;80;1;CASA CENTRAL (ARICA);15101;Arica;15;Arica y Parinacota;2
UNIVERSIDAD DE TARAPACA;80;2;SEDE IQUIQUE;01101;Iquique;01;Tarapacá;2
UNIVERSIDAD ARTURO PRAT;81;1;CASA CENTRAL (IQUIQUE);01101;Iquique;01;Tarapacá;6
