nombre_ies;codigo_ies;codigo_sede;nombre_sede;region_sede;provincia_sede;comuna_sede;n_sedes
UNIVERSIDAD ANDRES BELLO;20;2;SEDE CASONA DE LAS CONDES;REGION METROPOLITANA;SANTIAGO;LAS CONDES;4
UNIVERSIDAD ANDRES BELLO;20;3;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;4
UNIVERSIDAD ANDRES BELLO;20;4;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;4
UNIVERSIDAD DE VIÑA DEL MAR;22;1;CASA CENTRAL (VIÑA DEL MAR);REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;1
UNIVERSIDAD ADOLFO IBAÑEZ;23;1;CASA CENTRAL (VIÑA DEL MAR);REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;2;SEDE PEÑALOLEN;REGION METROPOLITANA;SANTIAGO;PEÑALOLEN;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;3;SEDE PRESIDENTE ERRAZURIZ;REGION METROPOLITANA;SANTIAGO;LAS CONDES;4
UNIVERSIDAD ADOLFO IBAÑEZ;23;4;SEDE VITACURA;REGION METROPOLITANA;SANTIAGO;VITACURA;4
UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC;26;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;1
UNIVERSIDAD AUTONOMA DE CHILE;31;1;CASA CENTRAL (TEMUCO);REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;4
UNIVERSIDAD AUTONOMA DE CHILE;31;2;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;4
UNIVERSIDAD AUTONOMA DE CHILE;31;3;CAMPUS EL LLANO;REGION METROPOLITANA;SANTIAGO;SAN MIGUEL;4
UNIVERSIDAD AUTONOMA DE CHILE;31;4;CAMPUS PROVIDENCIA;REGION METROPOLITANA;SANTIAGO;PROVIDENCIA;4
UNIVERSIDAD DE LOS ANDES;34;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;LAS CONDES;1
UNIVERSIDAD ADVENTISTA DE CHILE;38;1;CASA CENTRAL (CHILLAN);REGION DE ÑUBLE;DIGUILLIN;CHILLAN;1
UNIVERSIDAD SAN SEBASTIAN;39;2;SEDE CONCEPCION;REGION DEL BIOBIO;CONCEPCION;CONCEPCION;5
UNIVERSIDAD SAN SEBASTIAN;39;5;SEDE OSORNO;REGION DE LOS LAGOS;OSORNO;OSORNO;5
UNIVERSIDAD SAN SEBASTIAN;39;6;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;5
UNIVERSIDAD SAN SEBASTIAN;39;7;SEDE VALDIVIA;REGION DE LOS RIOS;VALDIVIA;VALDIVIA;5
UNIVERSIDAD SAN SEBASTIAN;39;8;SEDE PATAGONIA (PUERTO MONTT);REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;5
UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ;42;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD DEL DESARROLLO;45;1;CASA CENTRAL (CONCEPCION);REGION DEL BIOBIO;CONCEPCION;CONCEPCION;3
UNIVERSIDAD DEL DESARROLLO;45;2;SEDE SANTIAGO (LAS CONDES);REGION METROPOLITANA;SANTIAGO;LAS CONDES;3
UNIVERSIDAD DEL DESARROLLO;45;4;SEDE SANTIAGO (S.C. APOQUINDO);REGION METROPOLITANA;SANTIAGO;LAS CONDES;3
UNIVERSIDAD DE ACONCAGUA;46;11;SEDE LOS ANDES;REGION DE VALPARAISO;LOS ANDES;LOS ANDES;11
UNIVERSIDAD DE ACONCAGUA;46;12;SEDE MACHALI;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;MACHALI;11
UNIVERSIDAD DE ACONCAGUA;46;14;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;11
UNIVERSIDAD DE ACONCAGUA;46;16;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;11
UNIVERSIDAD DE ACONCAGUA;46;17;SEDE ANCUD;REGION DE LOS LAGOS;CHILOE;ANCUD;11
UNIVERSIDAD DE ACONCAGUA;46;19;SEDE SAN FELIPE;REGION DE VALPARAISO;SAN FELIPE DE ACONCAGUA;SAN FELIPE;11
UNIVERSIDAD DE ACONCAGUA;46;23;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;11
UNIVERSIDAD DE ACONCAGUA;46;2;SEDE VIÑA DEL MAR;REGION DE VALPARAISO;VALPARAISO;VIÑA DEL MAR;11
UNIVERSIDAD DE ACONCAGUA;46;4;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;11
UNIVERSIDAD DE ACONCAGUA;46;5;SEDE SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;11
UNIVERSIDAD DE ACONCAGUA;46;9;SEDE CALAMA;REGION DE ANTOFAGASTA;EL LOA;CALAMA;11
UNIVERSIDAD LOS LEONES;48;4;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD BERNARDO O'HIGGINS;50;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;2
UNIVERSIDAD BERNARDO O'HIGGINS;50;2;CAMPUS RONDIZZONI;REGION METROPOLITANA;SANTIAGO;SANTIAGO;2
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;10;SEDE CURICO;REGION DEL MAULE;CURICO;CURICO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;11;SEDE TALCA;REGION DEL MAULE;TALCA;TALCA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;12;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;13;SEDE CONCEPCION - TALCAHUANO;REGION DEL BIOBIO;CONCEPCION;TALCAHUANO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;14;SEDE TEMUCO;REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;15;SEDE VALDIVIA;REGION DE LOS RIOS;VALDIVIA;VALDIVIA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;16;SEDE OSORNO;REGION DE LOS LAGOS;OSORNO;OSORNO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;17;SEDE PUERTO MONTT;REGION DE LOS LAGOS;LLANQUIHUE;PUERTO MONTT;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;18;SEDE COYHAIQUE;REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;COYHAIQUE;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;19;SEDE PUNTA ARENAS;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;MAGALLANES;PUNTA ARENAS;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;1;SEDE ÑUÑOA;REGION METROPOLITANA;SANTIAGO;ÑUÑOA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;21;SEDE APOQUINDO;REGION METROPOLITANA;SANTIAGO;LAS CONDES;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;24;SEDE RENCA;REGION METROPOLITANA;SANTIAGO;RENCA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;25;SEDE SANTIAGO CENTRO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;26;SEDE MAIPU;REGION METROPOLITANA;SANTIAGO;MAIPU;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;2;SEDE ARICA;REGION DE ARICA Y PARINACOTA;ARICA;ARICA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;32;SEDE SANTIAGO SUR;REGION METROPOLITANA;SANTIAGO;MACUL;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;33;SEDE LOS ANGELES;REGION DEL BIOBIO;BIOBIO;LOS ANGELES;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;34;SEDE PUENTE ALTO;REGION METROPOLITANA;CORDILLERA;PUENTE ALTO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;3;SEDE IQUIQUE;REGION DE TARAPACA;IQUIQUE;IQUIQUE;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;4;SEDE CALAMA;REGION DE ANTOFAGASTA;EL LOA;CALAMA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;5;SEDE ANTOFAGASTA;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;6;SEDE COPIAPO;REGION DE ATACAMA;COPIAPO;COPIAPO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;7;SEDE LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;8;SEDE VALPARAISO;REGION DE VALPARAISO;VALPARAISO;VALPARAISO;26
UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;54;9;SEDE RANCAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;CACHAPOAL;RANCAGUA;26
UNIVERSIDAD MIGUEL DE CERVANTES;68;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD ALBERTO HURTADO;69;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD DE CHILE;70;1;SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;1
UNIVERSIDAD DE SANTIAGO DE CHILE;71;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;ESTACION CENTRAL;1
UNIVERSIDAD DE SANTIAGO DE CHILE (* CARRERA EN CONVENIO U. IBEROAMERICANA);71;1;CASA CENTRAL (SANTIAGO);REGION METROPOLITANA;SANTIAGO;ESTACION CENTRAL;1
UNIVERSIDAD DE VALPARAISO;72;1;CASA CENTRAL (VALPARAISO);REGION DE VALPARAISO;VALPARAISO;VALPARAISO;3
UNIVERSIDAD DE VALPARAISO;72;2;CAMPUS SAN FELIPE;REGION DE VALPARAISO;SAN FELIPE DE ACONCAGUA;SAN FELIPE;3
UNIVERSIDAD DE VALPARAISO;72;5;CAMPUS SANTIAGO;REGION METROPOLITANA;SANTIAGO;SANTIAGO;3
UNIVERSIDAD DE ANTOFAGASTA;73;1;CASA CENTRAL (ANTOFAGASTA);REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;2
UNIVERSIDAD DE ANTOFAGASTA;73;2;SEDE CAMPUS COLOSO;REGION DE ANTOFAGASTA;ANTOFAGASTA;ANTOFAGASTA;2
UNIVERSIDAD DE LA SERENA;74;1;LA SERENA;REGION DE COQUIMBO;ELQUI;LA SERENA;2
UNIVERSIDAD DE LA SERENA;74;3;CAMPUS LIMARI;REGION DE COQUIMBO;LIMARI;OVALLE;2
UNIVERSIDAD DEL BIO-BIO;75;1;CASA CENTRAL (CONCEPCION);REGION DEL BIOBIO;CONCEPCION;CONCEPCION;2
UNIVERSIDAD DEL BIO-BIO;75;2;SEDE CHILLAN;REGION DE ÑUBLE;DIGUILLIN;CHILLAN;2
UNIVERSIDAD DE LA FRONTERA;76;1;CASA CENTRAL (TEMUCO);REGION DE LA ARAUCANIA;CAUTIN;TEMUCO;2
UNIVERSIDAD DE LA FRONTERA;76;2;SEDE PUCON;REGION DE LA ARAUCANIA;CAUTIN;PUCON;2
UNIVERSIDAD DE MAGALLANES;77;1;CASA CENTRAL (PUNTA ARENAS);REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;MAGALLANES;PUNTA ARENAS;4
UNIVERSIDAD DE MAGALLANES;77;2;CENTRO UNIVERSITARIO PUERTO NATALES;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;ULTIMA ESPERANZA;NATALES;4
UNIVERSIDAD DE MAGALLANES;77;4;COYHAIQUE;REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;COYHAIQUE;COYHAIQUE;4
UNIVERSIDAD DE MAGALLANES;77;5;CENTRO UNIVERSITARIO UMAG CABO DE HORNOS;REGION DE MAGALLANES Y DE LA ANTARTICA CHILENA;ANTARTICA CHILENA;CABO DE HORNOS;4
UNIVERSIDAD DE TALCA;78;1;CASA CENTRAL (TALCA);REGION DEL MAULE;TALCA;TALCA;5
UNIVERSIDAD DE TALCA;78;3;CAMPUS CURICO;REGION DEL MAULE;CURICO;CURICO;5
UNIVERSIDAD DE TALCA;78;5;CAMPUS SANTIAGO;REGION METROPOLITANA;SANTIAGO;SAN JOAQUIN;5
UNIVERSIDAD DE TALCA;78;7;CAMPUS COLCHAGUA;REGION DEL LIBERTADOR BERNARDO OHIGGINS;COLCHAGUA;SANTA CRUZ;5
UNIVERSIDAD DE TALCA;78;8;CAMPUS LINARES;REGION DEL MAULE;LINARES;LINARES;5
UNIVERSIDAD DE ATACAMA;79;1;CASA CENTRAL (COPIAPO);REGION DE ATACAMA;COPIAPO;COPIAPO;2
UNIVERSIDAD DE ATACAMA;79;3;SEDE VALLENAR;REGION DE ATACAMA;HUASCO;VALLENAR;2
UNIVERSIDAD DE TARAPACA;80;1;CASA CENTRAL (ARICA);REGION DE ARICA Y PARINACOTA;ARICA;ARICA;2
UNIVERSIDAD DE TARAPACA;80;2;SEDE IQUIQUE;REGION DE TARAPACA;IQUIQUE;IQUIQUE;2
